,Id,LotFrontage,LotArea,YearBuilt,CentralAir,GrLivArea,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageArea,OpenPorchSF,SalePrice,Condition,Mean_rank,YearRemod,Exterior,TotalSF,TotalBath,WoodYN
18,19,66.0,13695,2004,1,1114,3,1,0,576,102,159000,0,5.0,0,0,2228,2.5,1
19,20,70.0,7560,1958,1,1339,3,1,0,294,0,139000,1,5.5,1,1,2368,1.0,1
20,21,101.0,14215,2005,1,2376,4,1,1,853,154,325300,1,6.5,1,0,3534,3.5,0
21,22,57.0,7449,1930,1,1108,3,1,1,280,0,139400,1,7.0,1,0,1745,1.0,1
22,23,75.0,9742,2002,1,1795,3,1,1,534,159,230000,1,6.5,0,0,3572,2.0,0
23,24,44.0,4224,1976,1,1060,3,1,1,572,110,129900,1,6.0,0,1,2100,2.0,0
24,25,77.0,8246,1968,1,1060,3,1,1,270,90,154000,1,6.5,1,0,2120,2.0,0
25,26,110.0,14230,2007,1,1600,3,1,1,890,56,256300,1,6.5,0,0,3166,2.0,1
26,27,60.0,7200,1951,1,900,3,1,0,576,32,134800,1,6.0,1,0,1800,1.5,0
27,28,98.0,11478,2007,1,1704,3,1,1,772,50,306000,1,6.5,1,0,3408,3.0,1
28,29,47.0,16321,1957,1,1600,2,1,2,319,258,207500,1,5.5,1,0,3084,2.0,0
29,30,60.0,6324,1927,0,520,1,1,0,240,0,68500,0,5.0,1,0,1040,1.0,0
30,31,50.0,8500,1920,0,1317,3,1,0,250,54,40000,0,4.0,1,0,1966,1.0,1
31,32,67.5,8544,1966,1,1228,3,1,0,271,65,149350,1,5.5,1,0,2456,1.5,1
32,33,85.0,11049,2007,1,1234,3,1,0,484,30,179900,1,6.5,0,0,2468,2.0,1
33,34,70.0,10552,1959,1,1700,4,1,1,447,38,165500,1,5.0,0,0,3098,2.0,1
34,35,60.0,7313,2005,1,1561,2,1,1,556,47,277500,1,7.0,0,0,3122,3.0,0
35,36,108.0,13418,2004,1,2452,4,1,1,691,32,309000,1,6.5,1,0,3569,3.5,0
36,37,112.0,10859,1994,1,1097,3,1,0,672,64,145000,1,5.0,1,0,2194,1.5,0
37,38,74.0,8532,1954,1,1297,3,1,1,498,0,153000,1,5.5,1,0,2594,1.5,1
38,39,68.0,7922,1953,1,1057,3,1,0,246,52,109000,1,6.0,1,0,2114,2.0,1
39,40,65.0,6040,1955,0,1152,2,2,0,0,0,82000,1,4.5,0,1,1152,2.0,1
40,41,84.0,8658,1965,1,1324,3,1,1,440,138,160000,1,5.5,0,0,2412,2.0,1
41,42,115.0,16905,1959,1,1328,2,1,2,308,104,170000,1,5.5,0,0,2678,2.0,1
42,43,100.0,9180,1983,1,884,2,1,0,504,0,144000,1,6.0,0,0,1724,2.0,0
43,44,85.0,9200,1975,1,938,3,1,0,308,0,130250,1,5.5,1,0,1876,2.0,0
44,45,70.0,7945,1959,1,1150,3,1,0,300,0,141000,1,5.5,0,1,2300,2.0,1
45,46,61.0,7658,2005,1,1752,2,1,1,576,82,319900,1,7.0,0,0,3504,3.0,0
46,47,48.0,12822,2003,1,2149,1,1,1,670,43,239686,1,6.0,0,0,3583,2.5,0
47,48,84.0,11096,2006,1,1656,3,1,0,826,146,249700,1,6.5,0,0,3312,2.0,1
48,49,33.0,4456,1920,1,1452,2,3,0,0,0,113000,1,4.5,1,0,2188,2.0,1
49,50,66.0,7742,1966,1,955,3,1,0,386,0,127000,1,6.0,0,0,1910,2.0,1
50,51,59.0,13869,1997,1,1470,3,1,0,388,75,177000,1,6.0,0,0,2264,2.5,1
51,52,52.0,6240,1934,1,1176,3,1,1,528,0,114500,1,6.0,1,0,1632,1.0,0
52,53,110.0,8472,1963,0,816,2,1,0,516,0,110000,0,5.0,0,0,1632,2.0,0
53,54,68.0,50271,1981,1,1842,0,1,1,894,72,385000,1,7.0,1,1,3684,2.5,0
54,55,60.0,7134,1955,1,1360,3,1,1,572,50,130000,1,5.0,0,0,1744,1.0,1
55,56,100.0,10175,1964,1,1425,3,1,1,576,0,180500,1,5.5,0,1,2850,2.0,1
56,57,24.0,2645,1999,1,1739,3,1,0,480,0,172500,1,6.5,1,0,2709,3.5,0
57,58,89.0,11645,2004,1,1720,3,1,0,565,70,196500,1,6.0,0,0,2580,2.5,1
58,59,66.0,13682,2006,1,2945,3,1,1,641,0,438780,1,7.5,0,0,4355,3.5,0
59,60,60.0,7200,1972,1,780,2,1,0,352,0,124900,1,6.0,0,0,1560,1.0,0
60,61,63.0,13072,2004,1,1158,3,1,0,576,50,158000,0,5.5,0,0,2316,2.5,1
61,62,60.0,7200,1920,0,1111,3,1,0,288,0,101000,1,6.0,1,0,1641,1.0,1
62,63,44.0,6442,2006,1,1370,2,1,1,484,49,202500,1,6.5,0,0,2740,2.0,0
63,64,50.0,10300,1921,1,1710,3,1,0,480,11,140000,0,6.5,1,0,2286,2.0,0
64,65,63.0,9375,1997,1,2034,3,1,0,645,36,219500,1,6.0,1,0,3091,3.5,0
65,66,76.0,9591,2004,1,2473,4,1,1,852,151,317000,1,6.5,1,0,3616,2.5,0
66,67,74.0,19900,1970,1,2207,3,1,1,576,0,180000,0,6.0,1,0,4154,3.0,0
67,68,72.0,10665,2003,1,1479,3,1,0,558,29,226000,1,6.0,0,0,2932,3.0,0
68,69,47.0,4608,1945,1,747,2,1,0,220,0,80000,0,5.0,1,0,1494,1.0,1
69,70,81.0,15593,1953,1,2287,3,1,1,667,21,225000,1,5.5,0,1,3591,2.0,1
70,71,95.0,13651,1973,1,2223,3,1,2,516,0,244000,1,6.5,0,0,4446,3.0,0
71,72,69.0,7599,1982,1,845,2,1,0,360,0,129500,1,5.0,1,1,1690,2.0,1
72,73,74.0,10141,1998,1,1718,3,1,1,427,94,185000,1,6.0,0,0,2550,2.5,1
73,74,85.0,10200,1954,1,1086,3,1,0,490,0,144900,1,6.0,1,0,2172,2.0,1
74,75,60.0,5790,1915,0,1605,3,2,0,379,0,107400,1,4.5,1,0,2445,2.0,1
75,76,21.0,1596,1973,1,988,2,1,0,297,101,91000,1,4.5,0,1,1450,2.0,0
76,77,35.5,8475,1956,1,952,2,1,0,283,0,135750,1,5.5,0,0,1904,1.0,1
77,78,50.0,8635,1948,1,1285,2,1,0,240,0,127000,1,5.0,1,0,1957,2.0,1
78,79,72.0,10778,1968,0,1768,4,2,0,0,0,136500,1,4.5,0,0,3536,2.0,1
79,80,60.0,10440,1910,1,1230,2,1,0,440,0,110000,1,5.5,1,0,1670,1.5,0
80,81,100.0,13000,1968,1,2142,4,1,1,509,72,193500,1,6.0,0,0,3038,2.5,1
81,82,32.0,4500,1998,1,1337,2,1,0,405,199,153500,1,5.5,0,0,2574,3.0,1
82,83,78.0,10206,2007,1,1563,3,1,1,758,99,245000,1,6.5,0,0,3126,2.0,0
83,84,80.0,8892,1960,1,1065,3,1,0,461,0,126500,1,5.0,0,0,2130,1.5,0
84,85,100.5,8530,1995,1,1474,3,1,1,400,72,168500,1,6.0,1,0,1858,2.5,0
85,86,121.0,16059,1991,1,2417,4,1,1,462,82,260000,1,6.5,1,0,3705,2.5,0
86,87,122.0,11911,2005,1,1560,3,1,1,400,38,174000,1,5.5,0,0,2244,2.5,0
87,88,40.0,3951,2009,1,1224,2,1,0,528,234,164500,1,5.5,0,0,1836,2.5,1
88,89,105.0,8470,1915,0,1526,2,1,0,0,0,85000,1,2.5,1,0,2026,1.0,1
89,90,60.0,8070,1994,1,990,3,1,0,0,0,123600,1,4.5,1,0,1980,2.0,1
90,91,60.0,7200,1950,1,1040,2,1,0,420,29,109900,1,4.5,0,1,1040,1.0,1
91,92,85.0,8500,1961,1,1235,2,1,0,480,0,98600,1,4.0,0,0,2470,1.0,1
92,93,80.0,13360,1921,1,964,2,1,0,432,0,163500,1,6.0,1,0,1840,2.0,1
93,94,60.0,7200,1910,0,2291,4,2,1,506,0,133900,1,6.0,1,0,3505,2.5,1
94,95,69.0,9337,1997,1,1786,3,1,0,684,162,204750,1,5.5,0,0,2610,3.5,1
95,96,73.5,9765,1993,1,1470,3,1,1,420,63,185000,1,7.0,0,0,2150,2.5,0
96,97,78.0,10264,1999,1,1588,3,1,0,472,29,214000,1,6.0,0,0,3176,2.0,0
97,98,73.0,10921,1965,1,960,3,1,0,432,0,94750,1,4.5,0,0,1920,2.0,0
98,99,85.0,10625,1920,0,835,2,1,0,366,0,83000,1,5.0,1,0,1293,1.0,1
99,100,77.0,9320,1959,1,1225,3,1,0,0,0,128950,1,4.5,0,0,2175,2.5,0
100,101,77.0,10603,1977,1,1610,3,1,2,480,68,205000,1,6.5,1,0,3220,3.0,0
101,102,77.0,9206,1985,1,1732,3,1,1,476,46,178000,1,5.5,0,0,2473,2.5,0
102,103,64.0,7018,1979,1,1535,4,2,0,410,0,118964,1,5.0,0,0,1535,2.0,1
103,104,94.0,10402,2009,1,1226,3,1,0,740,36,198900,1,6.0,0,0,2452,2.0,1
104,105,84.5,7758,1931,1,1818,4,1,2,240,0,169500,1,5.5,1,0,2858,1.5,1
105,106,75.0,9375,2003,1,1992,3,1,1,648,45,250000,1,6.5,1,0,3045,2.5,0
106,107,60.0,10800,1885,1,1047,2,1,0,273,0,100000,1,5.5,1,0,1688,1.0,1
107,108,50.0,6000,1948,1,789,2,1,0,250,0,115000,1,5.0,1,0,1578,1.0,1
108,109,85.0,8500,1919,0,1517,3,1,0,0,0,115000,0,6.0,1,1,2310,2.0,1
109,110,105.0,11751,1977,1,1844,3,1,1,546,122,190000,1,6.0,0,0,3688,2.0,1
110,111,75.0,9525,1954,1,1855,4,1,0,325,0,136900,1,5.0,1,0,2849,2.0,0
111,112,76.0,7750,2000,1,1430,3,1,1,400,0,180000,1,6.0,0,0,1814,2.5,0
112,113,77.0,9965,2007,1,2696,4,1,1,792,184,383970,1,6.0,0,0,3960,3.5,0
113,114,69.0,21000,1953,1,2259,3,1,2,450,120,217000,1,5.5,0,0,4068,3.0,0
114,115,61.0,7259,1945,1,2320,3,1,1,180,0,259500,1,7.0,1,0,3348,3.5,0
115,116,34.0,3230,1999,1,1458,2,1,1,440,32,176000,1,5.5,0,0,2187,2.5,1
116,117,54.0,11616,1962,1,1092,3,1,1,288,20,139000,1,5.0,0,0,2184,1.5,1
117,118,74.0,8536,2006,1,1125,2,1,0,430,64,155000,1,5.0,1,0,2250,1.5,0
118,119,90.0,12376,1990,1,3222,5,1,2,594,0,320000,1,6.0,0,0,4895,4.0,0
119,120,65.0,8461,2005,1,1456,3,1,1,390,24,163990,1,5.5,1,0,2184,2.5,1
120,121,57.5,21453,1969,1,988,1,1,2,540,130,180000,1,5.5,0,0,1926,2.0,1
121,122,50.0,6060,1939,1,1123,3,1,0,264,0,100000,1,4.5,1,0,1855,1.0,1
122,123,75.0,9464,1958,1,1080,3,1,0,288,0,136000,1,6.5,0,0,2160,1.0,1
123,124,55.0,7892,1993,1,1199,2,1,0,530,63,153900,1,5.5,0,0,2398,2.0,1
124,125,48.0,17043,1979,1,1586,3,1,1,435,0,181000,1,5.5,1,0,2948,2.0,0
125,126,60.0,6780,1935,0,754,2,1,0,0,0,84500,1,7.0,1,0,1040,2.0,0
126,127,57.5,4928,1976,1,958,2,1,1,440,205,128000,1,5.5,0,0,2036,2.0,1
127,128,55.0,4388,1930,1,840,3,1,1,0,0,87000,0,6.0,1,1,1512,1.0,1
128,129,69.0,7590,1966,1,1348,3,1,1,453,108,155000,0,5.5,0,0,2008,1.5,0
129,130,69.0,8973,1958,1,1053,3,1,0,750,80,150000,1,6.0,1,0,2061,2.0,1
130,131,88.0,14200,1966,1,2157,4,1,2,487,66,226000,1,6.5,0,0,3081,2.5,0
131,132,81.5,12224,2000,1,2054,3,1,1,390,48,244000,1,5.5,0,0,3046,3.5,0
132,133,75.0,7388,1959,1,1327,3,1,0,624,0,150750,1,5.5,1,0,2390,2.0,1
133,134,76.5,6853,2001,1,1296,2,1,0,471,25,220000,1,6.5,1,0,2563,3.0,0
134,135,78.0,10335,1968,1,1721,3,1,1,440,96,180000,1,5.5,1,0,3182,2.5,1
135,136,80.0,10400,1970,1,1682,3,1,1,530,0,174000,1,6.5,0,0,2986,2.0,0
136,137,81.0,10355,1967,1,1214,3,1,1,318,111,143000,1,5.0,0,0,2428,2.0,1
137,138,82.0,11070,1988,1,1959,5,2,0,766,0,171000,1,6.0,1,0,3866,3.0,1
138,139,73.0,9066,1999,1,1852,3,1,2,660,106,230000,1,6.5,1,0,2856,2.5,0
139,140,65.0,15426,1997,1,1764,3,1,0,470,99,231500,1,5.5,0,0,2692,3.5,0
140,141,70.0,10500,1971,1,864,3,1,1,0,0,115000,1,4.5,0,0,1728,1.0,1
141,142,78.0,11645,2005,1,1734,3,1,0,660,24,260000,1,6.0,0,0,3468,3.0,0
142,143,71.0,8520,1952,1,1385,4,1,0,720,0,166000,0,4.5,0,1,2295,2.0,1
143,144,78.0,10335,1999,1,1501,3,1,0,577,29,204000,1,6.0,0,0,2991,3.0,0
144,145,70.0,9100,1963,1,1728,6,2,0,504,0,125000,0,5.0,0,0,3456,3.0,1
145,146,24.0,2522,2004,1,1709,3,1,0,380,40,130000,1,5.5,1,0,2679,2.0,1
146,147,51.0,6120,1931,1,875,2,1,0,180,0,105000,1,6.0,1,0,1590,2.0,0
147,148,57.0,9505,2001,1,2035,3,1,1,434,48,222500,1,6.0,0,0,2919,2.5,0
148,149,63.0,7500,2004,1,1080,3,1,0,0,0,141000,1,6.0,1,0,2160,2.0,1
149,150,91.5,6240,1936,1,1344,3,1,0,240,114,115000,1,4.5,1,0,2240,1.0,0
150,151,120.0,10356,1975,1,969,3,1,0,440,0,122000,1,5.5,0,0,1938,1.5,1
151,152,107.0,13891,2007,1,1710,2,1,1,866,102,372402,1,6.5,1,0,3420,3.0,1
152,153,99.33333333333333,14803,1971,1,1993,4,1,1,495,66,190000,1,5.5,0,0,2818,2.5,1
153,154,91.66666666666667,13500,1960,1,1252,1,1,1,564,0,235000,1,6.5,1,1,2854,2.0,0
154,155,84.0,11340,1923,1,1200,4,1,0,312,0,125000,1,5.5,1,0,2400,1.0,1
155,156,60.0,9600,1924,0,1096,2,1,0,0,8,79000,0,5.5,1,0,1668,1.0,1
156,157,60.0,7200,1950,1,1040,2,1,0,625,0,109500,1,6.0,0,0,1040,1.0,1
157,158,92.0,12003,2009,1,1968,4,1,1,680,75,269500,1,6.5,1,0,2742,2.5,1
158,159,100.0,12552,2004,1,1947,3,1,1,678,136,254900,1,6.0,1,0,2938,2.5,1
159,160,134.0,19378,2005,1,2462,4,1,1,576,132,320000,1,6.0,1,0,3854,3.5,0
160,161,122.0,11120,1984,1,1232,3,1,0,516,0,162500,1,6.0,0,0,2464,2.0,1
161,162,110.0,13688,2003,1,2668,3,1,2,726,0,412500,1,7.0,1,0,4240,3.5,0
162,163,95.0,12182,2005,1,1541,3,1,1,532,70,220000,1,6.0,0,0,3082,2.0,1
163,164,55.0,5500,1956,1,882,1,1,0,0,0,103200,1,5.0,0,0,1764,1.0,1
164,165,40.0,5400,1926,1,1616,3,1,0,216,0,152000,1,6.5,1,0,2765,2.0,1
165,166,62.0,10106,1940,1,1355,4,2,0,0,0,127500,1,6.0,1,0,1999,3.0,0
166,167,74.0,10708,1955,1,1867,2,1,3,303,0,190000,1,5.0,1,0,3484,2.0,0
167,168,86.0,10562,2007,1,2161,3,1,1,789,120,325624,1,6.5,0,0,3743,2.5,0
168,169,62.0,8244,2004,1,1720,3,1,1,440,48,183500,1,6.0,0,0,2560,2.5,0
169,170,88.33333333333333,16669,1981,1,1707,2,1,1,511,64,228000,1,7.0,0,0,3393,2.5,0
170,171,114.66666666666666,12358,1941,1,1382,2,1,0,660,0,128500,0,5.5,1,0,1574,1.5,0
171,172,141.0,31770,1960,1,1656,3,1,2,528,62,215000,1,5.5,0,1,2736,2.0,0
172,173,44.0,5306,1987,1,1767,2,1,1,504,35,239000,1,7.0,0,0,2831,3.0,0
173,174,80.0,10197,1961,1,1362,3,1,1,504,20,163000,1,5.5,0,1,2724,2.5,1
174,175,47.0,12416,1986,1,1651,3,1,1,616,0,184000,1,5.5,0,1,3257,3.0,0
175,176,84.0,12615,1950,1,2158,4,1,1,576,29,243000,1,6.5,1,1,3360,3.0,1
176,177,97.0,10029,1988,1,2060,4,1,1,521,228,211000,1,5.5,1,0,3211,3.0,1
177,178,80.0,13650,1958,1,1920,4,1,1,451,0,172500,1,5.0,0,0,2972,3.0,1
178,179,63.0,17423,2008,1,2234,1,1,1,1166,60,501837,1,7.0,1,0,4450,3.0,1
179,180,60.0,8520,1923,1,968,2,1,0,480,0,100000,1,5.5,1,0,1936,1.0,1
180,181,57.0,2117,2000,1,1525,3,1,1,440,0,177000,1,5.5,0,0,2281,2.5,1
181,182,54.0,7588,1920,1,1802,4,1,1,216,0,200100,1,6.5,1,0,2595,1.5,1
182,183,60.0,9060,1957,1,1340,3,1,1,252,0,120000,0,5.5,1,0,1340,1.0,0
183,184,63.0,11426,2003,1,2082,3,1,0,484,238,200000,1,6.0,0,0,3444,2.5,0
184,185,92.0,7438,1908,1,1252,3,1,0,576,0,127000,0,6.5,1,1,1756,1.0,0
185,186,90.0,22950,1892,1,3608,4,1,2,840,260,475000,0,9.5,1,0,4143,2.5,1
186,187,75.0,9947,1990,1,1217,3,1,0,497,27,173000,1,6.0,1,0,2405,3.0,0
187,188,60.0,10410,1916,1,1656,3,1,0,180,0,135000,1,6.0,1,0,2172,2.5,1
188,189,64.0,7018,1979,1,1224,2,2,2,528,0,153337,0,5.0,0,0,2310,3.0,0
189,190,41.0,4923,2001,1,1593,0,1,1,682,120,286000,1,6.5,1,1,3186,2.5,1
190,191,70.0,10570,1932,1,2727,3,1,2,440,74,315000,1,8.0,1,0,3580,2.5,1
191,192,69.0,7472,1972,1,1479,4,1,0,484,32,184000,1,8.0,1,0,2204,2.5,1
192,193,68.0,9017,1999,1,1431,3,1,0,666,35,192000,1,6.0,0,0,2862,3.0,1
193,194,24.0,2522,2004,1,1709,3,1,0,380,40,130000,1,6.0,0,0,2679,2.0,1
194,195,60.0,7180,1972,1,864,3,1,0,352,0,127000,1,6.0,0,0,1728,1.0,1
195,196,24.0,2280,1976,1,1456,3,1,1,440,0,148500,1,6.0,0,1,2311,2.5,0
196,197,79.0,9416,2007,1,1726,3,1,1,786,138,311872,1,6.0,0,1,3452,3.0,0
197,198,174.0,25419,1918,1,3112,4,1,1,795,16,235000,0,6.0,1,0,4080,3.5,1
198,199,92.0,5520,1912,1,2229,5,1,0,0,198,104000,1,6.0,1,0,2613,1.0,1
199,200,76.0,9591,2004,1,1713,3,1,1,856,26,274900,1,6.5,1,0,3426,3.0,1
200,201,80.0,8546,2003,1,1121,2,1,0,440,64,140000,1,4.5,1,0,2242,2.0,0
201,202,75.0,10125,1977,1,1279,3,1,2,473,83,171500,1,6.0,0,0,2475,2.5,0
202,203,50.0,7000,1924,1,1310,2,1,0,398,0,112000,0,6.0,1,0,1927,2.0,1
203,204,50.0,4438,2004,1,848,1,1,1,420,0,149000,1,5.5,0,0,1696,2.0,0
204,205,50.0,3500,1947,1,1284,2,1,0,240,35,110000,1,6.0,1,0,2004,1.5,1
205,206,99.0,11851,1990,1,1442,3,1,0,500,34,180500,1,6.0,0,0,2866,2.0,1
206,207,40.0,13673,1962,1,1696,3,1,1,349,30,143900,0,5.0,0,0,2836,1.5,1
207,208,51.666666666666664,12493,1960,1,1100,3,1,1,312,0,141000,1,4.5,0,0,2200,2.0,0
208,209,63.33333333333333,14364,1988,1,2062,3,1,1,454,55,277000,1,6.0,1,0,3219,3.5,0
209,210,75.0,8250,1964,1,1092,3,1,0,504,0,145000,1,6.5,0,0,2184,2.0,1
210,211,67.0,5604,1925,0,864,2,1,0,0,0,98000,1,5.5,1,0,1728,2.0,1
211,212,83.0,10420,2009,1,1212,3,1,0,460,22,186000,1,5.5,0,0,2424,2.0,0
212,213,72.0,8640,2009,1,1852,3,1,1,644,108,252678,1,6.0,0,0,2752,3.5,0
213,214,43.0,13568,1995,1,990,3,1,0,576,0,156000,1,5.0,0,0,1980,1.5,0
214,215,57.5,10900,1977,1,1392,3,1,0,299,36,161750,1,6.5,0,0,2081,1.5,1
215,216,72.0,10011,1957,1,1236,2,1,1,447,0,134450,1,5.5,1,0,2306,1.5,1
216,217,65.0,8450,2004,1,1436,3,1,0,484,98,210000,1,6.0,0,0,2872,3.0,0
217,218,57.0,9906,1925,0,1328,3,1,0,210,172,107000,1,4.0,1,0,2014,1.0,1
218,219,50.0,15660,1939,1,1954,3,1,2,431,119,311500,1,8.0,1,0,2752,2.0,1
219,220,43.0,3010,2005,1,1248,2,1,0,438,0,167240,1,6.0,1,0,2496,2.0,0
220,221,73.0,8990,2006,1,1498,2,1,0,675,33,204900,1,6.0,0,0,2996,2.0,0
221,222,79.0,8068,2002,1,2267,4,1,1,390,46,200000,1,5.5,0,0,3277,2.5,0
222,223,85.0,11475,1975,1,1552,3,1,1,434,208,179900,0,6.0,0,0,2265,3.5,0
223,224,70.0,10500,1971,1,864,2,1,0,576,0,97000,1,5.0,0,0,1728,1.0,0
224,225,103.0,13472,2003,1,2392,3,1,1,968,105,386250,1,7.5,0,0,4784,2.0,0
225,226,21.0,1680,1971,1,1302,3,1,0,280,0,112000,1,5.0,0,0,1932,2.5,1
226,227,82.0,9950,1995,1,2520,4,1,1,721,114,290000,1,6.0,0,0,3723,2.5,0
227,228,21.0,1869,1970,1,987,2,1,0,280,0,106000,1,6.0,0,0,1470,1.5,1
228,229,70.0,8521,1967,1,912,3,1,1,336,0,125000,0,5.0,0,0,1824,1.0,1
229,230,43.0,3182,2005,1,1555,2,1,1,430,20,192500,1,6.0,1,0,2928,2.0,0
230,231,73.0,8760,1959,1,1194,3,1,0,312,0,148000,1,6.0,0,0,2388,2.0,1
231,232,174.0,15138,1995,1,2794,4,1,1,810,146,403000,1,6.5,1,0,4256,3.5,1
232,233,21.0,1680,1972,1,987,2,1,1,288,0,94500,1,5.5,0,0,1470,1.5,1
233,234,75.0,10650,1976,1,894,3,1,0,308,0,128200,1,5.5,0,0,1788,2.0,0
234,235,48.0,7851,2002,1,1960,4,1,2,440,48,216500,1,5.5,0,0,2820,3.5,0
235,236,21.0,1680,1971,1,987,2,1,0,264,0,89500,1,4.5,0,0,1470,1.5,1
236,237,65.0,8773,2004,1,1414,3,1,0,494,105,185500,1,6.0,0,0,2828,2.0,0
237,238,79.0,9453,1993,1,1744,3,1,0,457,70,194500,0,7.0,1,0,2740,2.5,0
238,239,93.0,12030,2007,1,1694,3,1,0,818,228,318000,1,6.5,0,0,3388,2.0,0
239,240,52.0,8741,1945,1,1487,3,1,1,220,140,113000,1,5.0,1,0,2222,1.5,1
240,241,75.0,9000,2008,1,1566,3,1,0,750,168,262500,1,6.5,0,0,3132,3.0,0
241,242,40.0,3880,1945,1,866,2,1,0,0,42,110500,1,7.0,1,0,1552,1.0,0
242,243,63.0,5000,1900,0,1440,3,1,0,352,0,79000,1,4.5,1,0,1980,1.0,1
243,244,75.0,10762,1980,1,1217,3,1,1,288,28,120000,1,6.0,0,0,1843,1.5,1
244,245,77.5,8880,1994,1,2110,3,1,2,463,130,205000,1,6.0,1,0,3058,3.5,1
245,246,80.0,10400,1988,1,1872,3,1,1,604,39,241500,1,6.0,0,0,3717,2.5,0
246,247,69.0,9142,1910,0,1928,4,2,0,440,60,137000,1,7.0,1,0,2948,2.0,1
247,248,75.0,11310,1954,1,1375,2,1,1,451,30,140000,1,5.5,0,1,2742,1.0,1
248,249,72.0,11317,2003,1,1668,3,1,0,500,68,180000,1,6.0,0,0,2508,2.5,0
249,250,63.5,159000,1958,1,2144,4,1,2,389,98,277000,1,6.5,1,1,3588,2.5,1
250,251,55.0,5350,1940,1,1306,3,1,0,0,0,76500,1,2.5,1,1,2034,1.0,0
251,252,44.0,4750,2006,1,1625,2,1,1,538,0,235000,1,6.5,1,0,3198,3.5,0
252,253,65.0,8366,2004,1,1640,3,1,0,520,45,173000,1,5.5,0,0,2438,2.5,0
253,254,85.0,9350,1964,1,1302,3,1,0,309,0,158000,1,6.5,1,0,2604,2.5,0
254,255,70.0,8400,1957,1,1314,3,1,0,294,0,145000,1,5.5,0,0,2628,2.0,0
255,256,66.0,8738,1999,1,2291,4,1,1,429,0,230000,1,6.0,0,0,3266,2.5,0
256,257,64.0,8791,2003,1,1728,3,1,0,673,56,207500,1,5.5,0,0,2592,2.5,0
257,258,68.0,8814,2006,1,1604,3,1,1,660,110,220000,1,6.0,0,0,3208,3.5,0
258,259,80.0,12435,2001,1,1792,3,1,1,564,96,231500,1,6.0,0,0,2755,2.5,1
259,260,70.0,12702,1956,1,882,2,1,0,308,45,97000,1,5.0,0,0,882,1.0,1
260,261,120.0,19296,1962,1,1382,3,1,1,884,0,176000,0,5.5,0,0,2744,2.0,1
261,262,69.0,9588,2007,1,2574,3,1,1,868,148,276000,1,6.5,0,1,4056,2.5,1
262,263,88.0,8471,1977,1,1212,3,1,1,492,12,151000,1,6.5,1,1,1718,2.0,0
263,264,50.0,5500,1929,1,1316,3,1,0,484,0,130000,1,6.0,1,0,1852,2.0,1
264,265,30.0,5232,1925,0,764,2,1,0,504,0,73000,0,5.0,1,0,1444,1.0,1
265,266,78.0,12090,1981,1,1422,3,1,1,576,0,175500,1,6.0,0,0,2844,2.0,0
266,267,70.0,11207,1997,1,1511,3,1,1,413,75,185000,1,5.5,0,0,2313,3.5,0
267,268,60.0,8400,1939,1,2192,4,1,1,240,24,179500,1,6.5,1,0,2492,2.5,0
268,269,71.0,6900,1940,1,778,2,1,1,924,25,120500,1,5.5,1,0,1518,1.0,1
