,SalePrice,LotArea,OverallQual,YearBuilt,GrLivArea,Fireplaces,GarageArea,Condition
106,100000,10800,4,1885,1047,0,273,1
107,115000,6000,5,1948,789,0,250,1
108,115000,8500,5,1919,1517,0,0,0
109,190000,11751,6,1977,1844,1,546,1
110,136900,9525,6,1954,1855,0,325,1
111,180000,7750,7,2000,1430,1,400,1
112,383970,9965,7,2007,2696,1,792,1
113,217000,21000,6,1953,2259,2,450,1
114,259500,7259,6,1945,2320,1,180,1
115,176000,3230,6,1999,1458,1,440,1
116,139000,11616,5,1962,1092,1,288,1
117,155000,8536,5,2006,1125,0,430,1
118,320000,12376,7,1990,3222,2,594,1
119,163990,8461,6,2005,1456,1,390,1
120,180000,21453,6,1969,988,2,540,1
121,100000,6060,4,1939,1123,0,264,1
122,136000,9464,6,1958,1080,0,288,1
123,153900,7892,6,1993,1199,0,530,1
124,181000,17043,6,1979,1586,1,435,1
125,84500,6780,6,1935,754,0,0,1
126,128000,4928,6,1976,958,1,440,1
127,87000,4388,5,1930,840,1,0,0
128,155000,7590,6,1966,1348,1,453,0
129,150000,8973,5,1958,1053,0,750,1
130,226000,14200,7,1966,2157,2,487,1
131,244000,12224,6,2000,2054,1,390,1
132,150750,7388,5,1959,1327,0,624,1
133,220000,6853,8,2001,1296,0,471,1
134,180000,10335,5,1968,1721,1,440,1
135,174000,10400,7,1970,1682,1,530,1
136,143000,10355,5,1967,1214,1,318,1
137,171000,11070,7,1988,1959,0,766,1
138,230000,9066,8,1999,1852,2,660,1
139,231500,15426,6,1997,1764,0,470,1
140,115000,10500,4,1971,864,1,0,1
141,260000,11645,7,2005,1734,0,660,1
142,166000,8520,5,1952,1385,0,720,0
143,204000,10335,7,1999,1501,0,577,1
144,125000,9100,5,1963,1728,0,504,0
145,130000,2522,6,2004,1709,0,380,1
146,105000,6120,5,1931,875,0,180,1
147,222500,9505,7,2001,2035,1,434,1
148,141000,7500,7,2004,1080,0,0,1
149,115000,6240,5,1936,1344,0,240,1
150,122000,10356,5,1975,969,0,440,1
151,372402,13891,8,2007,1710,1,866,1
152,190000,14803,6,1971,1993,1,495,1
153,235000,13500,6,1960,1252,1,564,1
154,125000,11340,6,1923,1200,0,312,1
155,79000,9600,6,1924,1096,0,0,0
156,109500,7200,5,1950,1040,0,625,1
157,269500,12003,8,2009,1968,1,680,1
158,254900,12552,7,2004,1947,1,678,1
159,320000,19378,7,2005,2462,1,576,1
160,162500,11120,6,1984,1232,0,516,1
161,412500,13688,9,2003,2668,2,726,1
162,220000,12182,7,2005,1541,1,532,1
163,103200,5500,4,1956,882,0,0,1
164,152000,5400,6,1926,1616,0,216,1
165,127500,10106,5,1940,1355,0,0,1
166,190000,10708,5,1955,1867,3,303,1
167,325624,10562,8,2007,2161,1,789,1
168,183500,8244,7,2004,1720,1,440,1
169,228000,16669,8,1981,1707,1,511,1
170,128500,12358,5,1941,1382,0,660,0
171,215000,31770,6,1960,1656,2,528,1
172,239000,5306,7,1987,1767,1,504,1
173,163000,10197,6,1961,1362,1,504,1
174,184000,12416,6,1986,1651,1,616,1
175,243000,12615,6,1950,2158,1,576,1
176,211000,10029,6,1988,2060,1,521,1
177,172500,13650,5,1958,1920,1,451,1
178,501837,17423,9,2008,2234,1,1166,1
179,100000,8520,5,1923,968,0,480,1
180,177000,2117,6,2000,1525,1,440,1
181,200100,7588,7,1920,1802,1,216,1
182,120000,9060,5,1957,1340,1,252,0
183,200000,11426,7,2003,2082,0,484,1
184,127000,7438,5,1908,1252,0,576,0
185,475000,22950,10,1892,3608,2,840,0
186,173000,9947,7,1990,1217,0,497,1
187,135000,10410,5,1916,1656,0,180,1
188,153337,7018,5,1979,1224,2,528,0
189,286000,4923,8,2001,1593,1,682,1
190,315000,10570,8,1932,2727,2,440,1
191,184000,7472,7,1972,1479,0,484,1
192,192000,9017,7,1999,1431,0,666,1
193,130000,2522,7,2004,1709,0,380,1
194,127000,7180,5,1972,864,0,352,1
195,148500,2280,6,1976,1456,1,440,1
196,311872,9416,7,2007,1726,1,786,1
197,235000,25419,8,1918,3112,1,795,0
198,104000,5520,6,1912,2229,0,0,1
199,274900,9591,8,2004,1713,1,856,1
200,140000,8546,4,2003,1121,0,440,1
201,171500,10125,6,1977,1279,2,473,1
202,112000,7000,6,1924,1310,0,398,0
203,149000,4438,6,2004,848,1,420,1
204,110000,3500,5,1947,1284,0,240,1
205,180500,11851,7,1990,1442,0,500,1
206,143900,13673,5,1962,1696,1,349,0
207,141000,12493,4,1960,1100,1,312,1
208,277000,14364,7,1988,2062,1,454,1
209,145000,8250,6,1964,1092,0,504,1
210,98000,5604,5,1925,864,0,0,1
211,186000,10420,6,2009,1212,0,460,1
212,252678,8640,7,2009,1852,1,644,1
213,156000,13568,5,1995,990,0,576,1
214,161750,10900,6,1977,1392,0,299,1
215,134450,10011,5,1957,1236,1,447,1
216,210000,8450,7,2004,1436,0,484,1
217,107000,9906,4,1925,1328,0,210,1
218,311500,15660,7,1939,1954,2,431,1
219,167240,3010,7,2005,1248,0,438,1
220,204900,8990,7,2006,1498,0,675,1
221,200000,8068,6,2002,2267,1,390,1
222,179900,11475,6,1975,1552,1,434,0
223,97000,10500,4,1971,864,0,576,1
224,386250,13472,10,2003,2392,1,968,1
225,112000,1680,5,1971,1302,0,280,1
226,290000,9950,7,1995,2520,1,721,1
227,106000,1869,6,1970,987,0,280,1
228,125000,8521,5,1967,912,1,336,0
229,192500,3182,7,2005,1555,1,430,1
230,148000,8760,6,1959,1194,0,312,1
231,403000,15138,8,1995,2794,1,810,1
232,94500,1680,6,1972,987,1,288,1
233,128200,10650,5,1976,894,0,308,1
234,216500,7851,6,2002,1960,2,440,1
235,89500,1680,6,1971,987,0,264,1
236,185500,8773,7,2004,1414,0,494,1
237,194500,9453,7,1993,1744,0,457,0
238,318000,12030,8,2007,1694,0,818,1
239,113000,8741,6,1945,1487,1,220,1
240,262500,9000,8,2008,1566,0,750,1
241,110500,3880,5,1945,866,0,0,1
242,79000,5000,5,1900,1440,0,352,1
243,120000,10762,6,1980,1217,1,288,1
244,205000,8880,7,1994,2110,2,463,1
245,241500,10400,7,1988,1872,1,604,1
246,137000,9142,6,1910,1928,0,440,1
247,140000,11310,6,1954,1375,1,451,1
248,180000,11317,7,2003,1668,0,500,1
249,277000,159000,6,1958,2144,2,389,1
250,76500,5350,3,1940,1306,0,0,1
251,235000,4750,8,2006,1625,1,538,1
252,173000,8366,6,2004,1640,0,520,1
253,158000,9350,6,1964,1302,0,309,1
254,145000,8400,5,1957,1314,0,294,1
255,230000,8738,7,1999,2291,1,429,1
256,207500,8791,6,2003,1728,0,673,1
257,220000,8814,7,2006,1604,1,660,1
258,231500,12435,7,2001,1792,1,564,1
259,97000,12702,5,1956,882,0,308,1
260,176000,19296,6,1962,1382,1,884,0
261,276000,9588,8,2007,2574,1,868,1
262,151000,8471,6,1977,1212,1,492,1
263,130000,5500,5,1929,1316,0,484,1
264,73000,5232,5,1925,764,0,504,0
265,175500,12090,6,1981,1422,1,576,1
266,185000,11207,6,1997,1511,1,413,1
267,179500,8400,5,1939,2192,1,240,1
268,120500,6900,5,1940,778,1,924,1
269,148000,7917,6,1976,1113,1,504,1
270,266000,10728,8,2006,1939,1,1053,1
271,241500,39104,7,1954,1363,2,439,1
272,290000,11764,8,1999,2270,1,671,1
273,139000,9600,6,1958,1632,1,338,0
274,124500,8314,5,1982,816,0,264,1
275,205000,7264,7,1925,1548,0,672,1
276,201000,9196,7,2003,1560,0,573,1
277,141000,19138,4,1951,864,0,400,1
278,415298,14450,9,2006,2121,1,732,1
279,192000,10005,7,1977,2022,1,505,1
280,228500,11287,7,1989,1982,1,575,1
281,185000,7200,6,2006,1262,0,572,1
282,207500,5063,7,2007,1314,1,626,1
283,244600,9612,8,2008,1468,1,898,0
284,179200,8012,6,1992,1575,0,529,1
285,164700,4251,7,2006,1250,0,528,1
286,159000,9786,6,1962,1734,1,440,1
287,88000,8125,4,1971,858,0,0,1
288,122000,9819,5,1967,900,0,280,1
289,153575,8730,6,1915,1396,0,384,0
290,233230,15611,8,2006,1919,1,685,1
291,135900,5687,5,1912,1716,0,0,1
292,131000,11409,5,1949,1716,1,281,1
293,235000,16659,7,1977,2263,1,539,0
294,167000,9600,6,1953,1644,2,418,1
295,142500,7937,6,1984,1003,0,588,1
296,152000,13710,5,1950,1558,0,282,1
297,239000,7399,7,1997,1950,1,576,1
298,175000,11700,6,1968,1743,1,539,1
299,158500,14000,6,1950,1152,1,300,1
300,157000,15750,5,1953,1336,2,375,1
301,267000,16226,8,1998,2452,1,683,1
302,205000,13704,7,2001,1541,1,843,1
303,149900,9800,5,1972,894,0,552,1
304,295000,18386,7,1880,3493,1,870,1
305,305900,10386,8,2004,2000,0,888,1
306,225000,13474,7,1990,2243,1,746,0
307,89500,7920,6,1920,1406,0,0,0
308,82500,12342,4,1940,861,0,539,1
309,360000,12378,9,2003,1944,3,708,1
310,165600,7685,6,1993,1501,1,420,1
311,132000,8000,6,1948,972,1,240,1
312,119900,7800,5,1939,1118,1,410,0
313,375000,215245,7,1965,2036,2,513,1
314,178000,9600,7,1925,1641,1,546,1
315,188500,7795,7,2004,1432,1,432,1
316,260000,13005,7,1980,2353,1,484,1
317,270000,9000,8,2006,1959,1,1025,1
318,260000,9900,7,1993,2646,1,656,1
319,187500,14115,7,1980,1472,2,588,1
320,342643,16259,9,2006,2596,0,840,1
321,354000,12099,8,2004,2468,1,872,1
322,301000,10380,7,1986,2730,1,576,1
323,126175,5820,3,1955,1163,0,220,1
324,242000,11275,7,1967,2978,1,564,0
325,87000,5000,5,1941,803,0,360,0
326,324000,10846,8,1993,1719,2,473,1
327,145250,11600,6,1960,1383,0,292,1
328,214500,11888,6,1916,2134,0,441,0
329,78000,6402,5,1920,1192,0,189,1
330,119000,10624,5,1964,1728,0,352,1
331,139000,8176,5,1958,1056,0,308,1
332,284000,10655,8,2003,1629,1,880,1
333,207000,8198,7,2004,1358,1,484,1
334,192000,9042,6,1998,1638,2,472,1
335,228950,164660,5,1965,1786,2,529,1
336,377426,14157,9,2005,1922,1,676,1
337,214000,9135,7,2002,1536,0,532,1
338,202500,14145,7,1984,1621,0,440,1
339,155000,12400,6,1958,1215,0,297,0
340,202900,14191,8,2002,1908,0,431,1
341,82000,8400,4,1950,841,0,294,0
342,87500,8544,3,1949,1040,0,400,1
343,266000,8849,9,2005,1684,1,564,1
344,85000,2592,5,1976,1112,0,336,1
345,140200,6435,6,1939,1577,1,312,0
346,151500,12772,6,1960,958,0,301,1
347,157500,17600,6,1960,1478,2,498,1
348,154000,2448,7,2003,1626,0,474,1
349,437154,20431,9,2005,2728,2,706,1
350,318061,7820,9,2007,1869,1,617,1
351,190000,5271,7,1986,1453,1,445,1
352,95000,9084,5,1941,1111,0,200,0
353,105900,8520,6,1928,720,0,484,1
354,140000,8400,6,1940,1595,2,240,1
355,177500,11249,6,1995,1200,0,521,1
356,173000,9248,6,1992,1167,0,400,1
357,134000,4224,5,1976,1142,1,528,1
358,130000,6930,5,1958,1352,0,288,1
359,280000,12011,8,1998,1924,1,592,1
360,156000,7540,6,1978,912,1,470,1
361,145000,9144,5,1940,1505,0,240,1
362,198500,7301,7,2003,1922,1,672,1
363,118000,1680,6,1972,987,0,264,1
364,190000,18800,6,1976,1574,1,566,1
365,147000,10690,5,1920,1344,0,468,1
366,159000,9500,6,1963,1394,2,514,1
367,165000,9150,6,1962,1431,1,296,1
368,132000,7800,5,1954,1268,1,244,1
369,162000,9830,5,1959,1287,1,576,1
370,172400,8121,6,2000,1664,1,460,1
371,134432,17120,4,1959,1588,1,680,0
372,125000,7175,6,1984,752,0,264,1
373,123000,10634,5,1953,1319,0,270,1
374,219500,8200,7,2003,1928,1,434,1
375,61000,10020,1,1922,904,0,0,1
376,148000,8846,5,1996,914,0,576,1
377,340000,11143,8,2004,2466,1,610,1
378,394432,11394,9,2010,1856,1,834,1
379,179000,8123,6,2000,1800,1,463,0
380,127000,5000,5,1924,1691,1,308,1
381,187750,7200,7,2006,1301,1,572,1
382,213500,9245,7,2006,1797,0,639,1
383,76000,9000,6,1928,784,0,360,1
384,240000,53107,6,1992,1953,2,501,0
385,192000,3182,8,2004,1269,1,430,1
386,81000,8410,5,1910,1184,0,0,0
387,125000,7200,6,1976,1125,1,352,1
388,191000,9382,7,1999,1479,0,577,1
389,426000,12474,10,2007,2332,1,846,1
390,119000,8405,5,1900,1367,0,384,1
391,215000,12209,6,2001,1961,1,560,1
392,106500,8339,5,1959,882,0,294,1
393,100000,7446,4,1941,788,2,0,0
394,109000,10134,5,1940,1034,0,240,1
395,129000,9571,5,1956,1144,0,596,1
396,123000,7200,5,1972,894,0,600,1
397,169500,7590,5,1962,1812,1,264,0
398,67000,8967,5,1920,1077,0,338,1
399,241000,8125,7,2006,1550,0,438,1
400,245500,14963,8,1996,1288,2,500,1
401,164990,8767,7,2005,1310,1,400,1
402,108000,10200,5,1940,672,0,240,1
403,258000,12090,8,1998,2263,1,420,1
404,168000,10364,6,1995,1572,1,373,1
405,150000,9991,4,1976,1620,1,490,0
406,115000,10480,6,1936,1639,0,240,1
407,177000,15576,6,1915,1680,0,308,1
408,280000,14154,7,2006,2172,1,947,1
409,339750,10800,8,2007,2078,1,836,1
410,60000,9571,5,1958,1276,0,350,1
411,145000,34650,5,1955,1056,0,572,1
412,222000,4403,7,2009,1478,1,484,1
413,115000,8960,5,1927,1028,1,360,0
414,228000,11228,7,1993,2097,1,678,1
415,181134,8899,7,2007,1340,0,396,1
416,149500,7844,6,1978,1400,1,440,1
417,239000,22420,6,1918,2624,1,864,0
418,126000,8160,5,1940,1134,0,240,1
419,142000,8450,5,1968,1056,1,304,1
420,206300,7060,7,1997,1344,0,784,1
421,215000,16635,6,1977,1602,1,529,1
422,113000,21750,5,1954,988,0,520,0
423,315000,9200,8,1998,2630,1,696,1
424,139000,9000,6,1956,1196,1,297,1
425,135000,3378,7,1946,1389,2,240,1
426,275000,12800,7,1989,1644,1,569,1
427,109008,8593,4,1957,907,0,352,1
428,195400,6762,7,2007,1208,0,628,1
429,175000,11457,6,1988,1412,1,576,1
430,85400,1680,6,1971,987,0,264,1
431,79900,5586,6,1920,1198,0,0,0
432,122500,1920,5,1971,1365,0,440,1
433,181000,10839,6,1997,1604,1,470,1
434,81000,1890,4,1972,630,0,0,1
435,212000,10667,7,1996,1661,1,550,0
436,116000,4400,6,1920,1118,0,440,1
437,119000,6000,6,1926,904,0,180,1
438,90350,4280,5,1913,694,1,352,1
439,110000,12354,6,1920,1196,0,528,1
440,555000,15431,10,2008,2402,2,672,1
441,118000,12108,4,1955,1440,0,0,1
442,162900,6240,5,1930,1573,1,360,1
443,172500,3922,7,2006,1258,1,648,1
444,210000,8750,7,1994,1908,1,493,1
445,127500,9855,6,1956,1689,1,480,1
446,190000,16492,6,1966,1888,1,578,0
447,199900,11214,7,1998,1886,1,431,1
448,119500,8600,6,1937,1376,1,198,1
449,120000,6000,3,1948,1183,0,308,1
450,110000,5684,6,1930,813,0,270,1
451,280000,70761,7,1975,1533,2,576,1
452,204000,9303,6,1996,1756,0,422,1
453,210000,9000,8,2008,1590,0,676,1
454,188000,9297,5,1976,1728,0,560,1
455,175500,9600,7,1973,1242,1,528,1
456,98000,4571,5,1916,1344,0,513,1
457,256000,53227,4,1954,1663,2,529,1
458,161000,5100,8,1925,1666,1,228,1
459,110000,7015,5,1950,1203,1,352,1
460,263435,8004,8,2009,1935,0,552,0
461,155000,7200,7,1936,1135,0,576,0
462,62383,8281,5,1965,864,1,360,1
463,188700,11988,6,1934,1660,1,240,1
464,124000,8430,5,1978,1040,0,0,1
465,178740,3072,7,2004,1414,1,398,1
466,167000,10628,7,1970,1277,1,526,1
467,146500,9480,5,1942,1644,2,312,0
468,250000,11428,8,2006,1634,1,866,1
469,187000,9291,6,1993,1710,0,506,0
470,212000,6820,8,1985,1502,0,528,1
471,190000,11952,7,1977,1969,1,534,0
472,148000,3675,6,2005,1072,0,525,1
473,440000,14977,8,2006,1976,1,908,1
474,251000,5330,8,2000,1652,0,499,1
475,132500,8480,5,1963,970,0,624,1
476,208900,13125,6,1997,1493,1,508,1
477,380000,13693,9,2006,2643,1,694,1
478,297000,10637,8,2007,1718,1,826,1
479,89471,5925,4,1937,1131,0,672,1
480,326000,16033,9,2004,1850,1,772,1
481,374000,11846,9,2003,1792,1,874,1
482,155000,2500,7,1915,1826,1,164,1
483,164000,4500,6,1998,1216,0,402,1
484,132500,7758,5,1962,999,0,264,1
485,147000,9600,5,1950,1113,1,264,1
486,156000,10289,5,1965,1073,0,515,1
487,175000,12243,5,1971,1484,1,487,1
488,160000,10800,5,1900,2414,1,520,1
489,86000,1526,4,1970,630,0,286,1
490,115000,2665,5,1976,1304,1,336,1
491,133000,9490,6,1941,1578,2,240,0
492,172785,15578,6,2006,1456,0,429,1
493,155000,7931,5,1960,1269,1,308,1
494,91300,5784,5,1938,886,0,273,0
495,34900,7879,4,1920,720,0,0,1
496,430000,12692,8,1992,3228,1,546,1
497,184000,9120,7,1925,1820,0,240,1
498,130000,7800,5,1967,899,0,288,1
499,120000,7535,5,1958,912,0,297,1
500,113000,1890,6,1973,1218,0,264,1
501,226700,9803,7,2005,1768,0,603,1
502,140000,9170,5,1965,1214,0,461,0
503,289000,15602,7,1959,1801,2,484,1
504,147000,2308,6,1974,1322,1,440,1
505,124500,7596,5,1952,1960,0,400,0
506,215000,9554,8,1993,1911,1,471,1
507,208300,7862,6,2009,1218,0,676,1
508,161000,9600,7,1928,1378,1,360,1
509,124500,9600,5,1959,1041,0,270,1
510,164900,14559,5,1951,1363,2,288,1
511,202665,6792,7,2005,1368,1,474,1
512,129900,9100,5,1958,864,0,624,0
513,134000,9187,6,1983,1080,0,484,1
514,96500,10594,5,1926,789,0,200,1
515,402861,12220,10,2009,2020,1,900,1
516,158000,10448,6,1972,2119,1,583,1
517,265000,10208,7,1996,2344,1,889,1
518,211000,9531,6,1998,1796,0,546,1
519,234000,10918,7,1926,2080,2,282,1
520,106250,10800,4,1900,1294,0,0,1
521,150000,11988,6,1957,1244,2,336,0
522,159000,5000,6,1947,1664,2,420,0
523,184750,40094,10,2007,4676,1,884,1
524,315750,11787,7,1996,2398,1,834,1
525,176000,7500,7,2005,1266,1,453,1
526,132000,13300,5,1956,928,0,252,1
527,446261,14948,9,2008,2713,1,858,1
528,86000,9098,4,1920,605,0,0,1
529,200624,32668,6,1957,2515,2,484,1
530,175000,10200,6,1988,1509,1,600,1
531,128000,6155,6,1920,1362,0,502,0
532,107500,7200,5,1955,827,1,392,1
533,39300,5000,1,1946,334,0,0,1
534,178000,9056,8,2004,1414,1,403,1
535,107500,7000,5,1910,1347,0,0,1
536,188000,8924,7,1998,1724,0,527,1
537,111250,12735,4,1972,864,0,576,1
538,158000,11553,5,1968,1159,1,336,1
539,272000,11423,8,2001,1601,1,670,1
540,315000,14601,9,2006,1838,1,765,1
541,248000,11000,8,2000,2285,1,648,1
542,213250,10140,7,1998,1680,1,583,0
543,133000,4058,7,1998,767,0,367,1
544,179665,17104,7,2006,1496,1,426,1
545,229000,13837,7,1988,2183,0,786,1
546,210000,8737,6,1923,1635,1,440,1
547,129500,7244,5,1970,768,0,624,1
548,125000,8235,5,1955,825,0,720,0
549,263000,9375,7,2003,2094,1,615,1
550,140000,4043,6,1977,1069,0,440,1
551,112500,6000,5,1957,928,0,288,1
552,255500,11146,8,2006,1717,1,908,1
553,108000,8777,4,1949,1126,0,520,0
554,284000,10625,7,2003,2046,1,871,1
555,113000,6380,5,1922,1048,1,280,1
556,141000,14850,5,1957,1092,1,299,1
557,108000,11040,4,1920,1336,0,570,1
558,175000,21872,7,1996,1446,1,406,1
559,234000,3196,7,2003,1557,1,420,1
560,121500,11341,5,1957,1392,1,528,1
561,170000,10010,5,1974,1389,1,418,1
562,108000,13907,5,1940,996,1,0,1
563,185000,21780,6,1918,1674,1,396,1
564,268000,13346,7,1992,2295,1,590,1
565,128000,6858,6,1915,1647,0,216,1
566,325000,11198,9,2005,2504,1,656,1
567,214000,10171,7,2004,1535,0,532,1
568,316600,12327,8,1983,2132,1,612,1
569,135960,7032,5,1979,943,2,600,1
570,142600,13101,5,1965,1728,0,576,1
571,120000,7332,6,1959,864,0,288,1
572,224500,13159,7,2009,1692,0,650,1
573,170000,9967,7,2000,1430,1,400,1
574,139000,10500,5,1971,1109,0,288,1
575,118500,8480,5,1947,1216,0,336,1
576,145000,6292,7,1928,1477,1,216,1
577,164500,11777,5,1966,1320,2,564,1
578,146000,3604,7,2007,1392,0,540,1
579,131500,12150,5,1954,1795,0,352,1
580,181900,14585,6,1960,1429,2,572,1
581,253293,12704,8,2008,2042,1,1390,1
582,118500,11841,6,1990,816,0,0,1
583,325000,13500,10,1893,2775,1,880,0
584,133000,6120,4,1935,1573,0,240,1
585,369900,11443,8,2005,2028,2,880,1
586,130000,10267,6,1918,838,0,275,0
587,137000,8740,5,1982,860,0,528,1
588,143000,25095,5,1968,1473,2,452,1
589,79500,9100,5,1930,935,0,308,0
590,185900,8320,7,2004,1582,0,520,1
591,451950,13478,10,2008,2296,1,842,1
592,138000,6600,5,1982,816,0,816,1
593,140000,4435,6,2003,848,0,420,1
594,110000,7990,5,1975,924,0,280,1
595,319000,11302,8,2005,1826,1,758,1
596,114504,3600,6,1910,1368,0,216,1
597,194201,3922,7,2006,1402,1,648,1
598,217500,12984,5,1977,1647,1,621,1
599,151000,1950,6,1980,1556,1,452,1
600,275000,10927,8,2005,1904,1,736,1
601,141000,9000,6,1937,1375,1,544,1
602,220000,10041,8,1992,1915,1,506,1
603,151000,3182,7,2004,1200,0,480,1
604,221000,12803,7,2002,1494,1,530,1
605,205000,13600,7,1965,1986,3,486,1
606,152000,12464,5,1996,1040,0,576,1
607,225000,7800,5,1948,2008,0,230,1
608,359100,12168,8,1934,3194,2,380,1
609,118500,7943,4,1961,1029,0,261,0
610,313000,11050,9,2000,2153,2,736,0
611,148000,10395,6,1978,1032,1,564,1
612,261500,11885,8,2001,1872,1,531,1
613,147000,8402,5,2007,1120,0,0,0
614,75500,1491,4,1972,630,0,0,1
615,137500,8800,6,1963,1054,0,480,0
616,183200,7861,6,2002,1509,1,393,1
617,105500,7227,6,1954,832,0,528,0
618,314813,11694,9,2007,1828,1,774,1
619,305000,12244,8,2003,2262,2,749,1
620,67000,8248,3,1914,864,0,0,1
621,240000,10800,6,1974,2614,1,624,1
622,135000,7064,5,1977,980,0,484,1
623,168500,2117,6,2000,1512,1,440,1
624,165150,10400,6,1972,1790,1,484,1
625,160000,10000,6,1962,1116,0,440,1
626,139900,12342,5,1960,1422,1,286,1
627,153000,9600,6,1955,1520,2,364,1
628,135000,11606,5,1969,2080,2,504,1
629,168500,9020,6,1964,1350,0,520,0
630,124000,9000,5,1880,1750,0,240,0
631,209500,4590,8,2006,1554,1,627,1
632,82500,11900,7,1977,1411,1,544,1
633,139400,9250,5,1954,1056,0,260,1
634,144000,6979,6,1980,1056,0,576,1
635,200000,10896,6,1914,3395,0,0,0
